,x
1212,IDO2
1213,IDO1
1214,INMT
1215,HAAO
1216,AANAT
1217,KYNU
1218,ASMT
1219,KMO
1220,TDO2
1221,TPH1
1222,TPH2
1223,ACMSD
1224,GADL1
1225,CSAD
1226,GGT6
1227,GGT7
1228,ADO
1229,SCLY
1230,TXNRD2
1231,SEPHS2
1232,SEPHS1
1233,MARS2
1234,SEPSECS
1235,MARS
1236,PSTK
1237,TXNRD3
1238,TXNRD1
1239,DGLUCY
1240,GSTA4
1241,GSTA5
1242,GSTA1
1243,GSTA2
1244,GGCT
1245,MGST2
1246,MGST3
1247,MGST1
1248,OPLAH
1249,GPX4
1250,NAT8
1251,GSR
1252,NAT8B
1253,GSTA3
1254,GSTO2
1255,GSTO1
1256,GSTT2B
1257,GSTT2
1258,GSTT1
1259,GSTM1
1260,GSTM2
1261,GSTM3
1262,GSTM4
1263,GSTM5
1264,TXNDC12
1265,GSTP1
1266,ANPEP
1267,CHAC2
1268,CHAC1
1269,GSTK1
1270,DOLK
1271,RPN1
1272,GANAB
1273,ALG9
1274,ST6GAL2
1275,TUSC3
1276,ALG2
1277,ALG3
1278,ALG1
1279,ALG6
1280,RPN2
1281,ALG5
1282,MAN1B1
1283,DDOST
1284,ALG8
1285,STT3B
1286,DAD1
1287,STT3A
1288,ST6GAL1
1289,MGAT5B
1290,B4GALT3
1291,DPM3
1292,DPM2
1293,DPM1
1294,DPAGT1
1295,MAN2A2
1296,MAN2A1
1297,MGAT1
1298,MGAT2
1299,MGAT3
1300,MGAT5
1301,ALG10
1302,ALG11
1303,ALG12
1304,ALG13
1305,ALG14
1306,MAN1A1
1307,MAN1A2
1308,DOLPP1
1309,ALG10B
1310,MOGS
1311,MGAT4D
1312,MAN1C1
1313,MGAT4A
1314,MGAT4C
1315,MGAT4B
1316,FUT8
1317,GCNT4
1318,B3GNT6
1319,GCNT1
1320,GCNT3
1321,C1GALT1
1322,ST6GALNAC1
1323,GALNT3
1324,B4GALT5
1325,GALNTL5
1326,ST3GAL2
1327,ST3GAL1
1328,GALNTL6
1329,GALNT8
1330,GALNT9
1331,GALNT4
1332,GALNT5
1333,GALNT6
1334,GALNT7
1335,GALNT1
1336,GALNT2
1337,GALNT13
1338,GALNT16
1339,GALNT17
1340,GALNT14
1341,GALNT15
1342,GALNT12
1343,GALNT10
1344,POC1B-GALNT4
1345,GALNT11
1346,C1GALT1C1
1347,GALNT18
1348,RXYLT1
1349,FKTN
1350,B3GAT2
1351,B3GAT1
1352,FKRP
1353,ST3GAL3
1354,LARGE1
1355,LARGE2
1356,POMK
1357,CHST10
1358,B3GALNT2
1359,POMGNT1
1360,POMGNT2
1361,B4GAT1
1362,FUT4
1363,POMT1
1364,POMT2
1365,FUT9
1366,MFNG
1367,EOGT
1368,POGLUT1
1369,POFUT2
1370,POFUT1
1371,LFNG
1372,B3GLCT
1373,GXYLT1
1374,GXYLT2
1375,RFNG
1376,OGT
1377,CHST11
1378,CHST13
1379,B3GALT6
1380,CHST12
1381,CHST15
1382,CHST14
1383,CHSY1
1384,CHPF2
1385,XYLT2
1386,CHSY3
1387,XYLT1
1388,UST
1389,B4GALT7
1390,DSE
1391,B3GAT3
1392,CHST3
1393,CHPF
1394,CSGALNACT2
1395,CHST7
1396,CSGALNACT1
1397,HS3ST5
1398,HS3ST2
1399,HS3ST1
1400,HS2ST1
1401,NDST4
1402,NDST1
1403,NDST2
1404,NDST3
1405,HS3ST3A1
1406,HS3ST3B1
1407,EXT2
1408,EXT1
1409,EXTL1
1410,EXTL2
1411,EXTL3
1412,GLCE
1413,HS6ST1
1414,HS6ST2
1415,HS6ST3
1416,CHST2
1417,B3GNT2
1418,B4GALT4
1419,B3GNT7
1420,CHST1
1421,CHST4
1422,CHST6
